head_size,own_target_rank,ownership_correct,ownership_margin,path,people_count,query_index,sequence_id,target_cluster
0.16214943191884737,1,1.0,3.9833712577819824,images/CBS This Morning/11118_11359/00011121.jpg,4,0,images/CBS This Morning/11118_11359,0
0.14926517541808793,1,1.0,2.4995129108428955,images/CBS This Morning/11118_11359/00011121.jpg,4,1,images/CBS This Morning/11118_11359,1
0.07875747074107224,1,1.0,2.7468714714050293,images/CBS This Morning/11118_11359/00011121.jpg,4,2,images/CBS This Morning/11118_11359,0
0.10724614730194797,1,1.0,3.8251571655273438,images/CBS This Morning/11118_11359/00011121.jpg,4,3,images/CBS This Morning/11118_11359,0
0.16214943191884737,1,1.0,3.9219954013824463,images/CBS This Morning/11118_11359/00011122.jpg,4,0,images/CBS This Morning/11118_11359,0
0.14926517541808806,1,1.0,2.0734896659851074,images/CBS This Morning/11118_11359/00011122.jpg,4,1,images/CBS This Morning/11118_11359,1
0.07875747074107217,1,1.0,2.7407267093658447,images/CBS This Morning/11118_11359/00011122.jpg,4,2,images/CBS This Morning/11118_11359,0
0.10724614730194797,1,1.0,3.8909316062927246,images/CBS This Morning/11118_11359/00011122.jpg,4,3,images/CBS This Morning/11118_11359,0
0.16214943191884737,1,1.0,3.8519439697265625,images/CBS This Morning/11118_11359/00011123.jpg,4,0,images/CBS This Morning/11118_11359,0
0.14926517541808798,1,1.0,2.018354892730713,images/CBS This Morning/11118_11359/00011123.jpg,4,1,images/CBS This Morning/11118_11359,1
0.07875747074107224,1,1.0,2.6352529525756836,images/CBS This Morning/11118_11359/00011123.jpg,4,2,images/CBS This Morning/11118_11359,0
0.10724614730194797,1,1.0,3.8006110191345215,images/CBS This Morning/11118_11359/00011123.jpg,4,3,images/CBS This Morning/11118_11359,0
0.16214943191884737,1,1.0,3.804215669631958,images/CBS This Morning/11118_11359/00011124.jpg,4,0,images/CBS This Morning/11118_11359,0
0.14926517541808806,1,1.0,1.7165477275848389,images/CBS This Morning/11118_11359/00011124.jpg,4,1,images/CBS This Morning/11118_11359,1
0.07875747074107224,1,1.0,2.7211639881134033,images/CBS This Morning/11118_11359/00011124.jpg,4,2,images/CBS This Morning/11118_11359,0
0.10724614730194797,1,1.0,3.762300968170166,images/CBS This Morning/11118_11359/00011124.jpg,4,3,images/CBS This Morning/11118_11359,0
0.16214943191884737,1,1.0,3.8542699813842773,images/CBS This Morning/11118_11359/00011125.jpg,4,0,images/CBS This Morning/11118_11359,0
0.14926517541808806,1,1.0,1.5640389919281006,images/CBS This Morning/11118_11359/00011125.jpg,4,1,images/CBS This Morning/11118_11359,1
0.07875747074107232,1,1.0,2.8229031562805176,images/CBS This Morning/11118_11359/00011125.jpg,4,2,images/CBS This Morning/11118_11359,0
0.10724614730194797,1,1.0,3.905897617340088,images/CBS This Morning/11118_11359/00011125.jpg,4,3,images/CBS This Morning/11118_11359,0
0.16214943191884737,1,1.0,3.87011456489563,images/CBS This Morning/11118_11359/00011126.jpg,4,0,images/CBS This Morning/11118_11359,0
0.14926517541808806,1,1.0,1.4484963417053223,images/CBS This Morning/11118_11359/00011126.jpg,4,1,images/CBS This Morning/11118_11359,1
0.07875747074107232,1,1.0,3.15402889251709,images/CBS This Morning/11118_11359/00011126.jpg,4,2,images/CBS This Morning/11118_11359,0
0.10724614730194797,1,1.0,3.9296841621398926,images/CBS This Morning/11118_11359/00011126.jpg,4,3,images/CBS This Morning/11118_11359,0
0.1621494319188474,1,1.0,3.9270029067993164,images/CBS This Morning/11118_11359/00011127.jpg,4,0,images/CBS This Morning/11118_11359,0
0.1492651754180883,1,1.0,1.9368712902069092,images/CBS This Morning/11118_11359/00011127.jpg,4,1,images/CBS This Morning/11118_11359,1
0.07875747074107248,1,1.0,3.9344446659088135,images/CBS This Morning/11118_11359/00011127.jpg,4,2,images/CBS This Morning/11118_11359,0
0.10724614730194793,1,1.0,4.2086992263793945,images/CBS This Morning/11118_11359/00011127.jpg,4,3,images/CBS This Morning/11118_11359,0
0.16214943191884737,1,1.0,4.006194114685059,images/CBS This Morning/11118_11359/00011128.jpg,4,0,images/CBS This Morning/11118_11359,0
0.1492651754180882,1,1.0,2.458333969116211,images/CBS This Morning/11118_11359/00011128.jpg,4,1,images/CBS This Morning/11118_11359,1
0.0787574707410724,1,1.0,4.403341770172119,images/CBS This Morning/11118_11359/00011128.jpg,4,2,images/CBS This Morning/11118_11359,0
0.10724614730194793,1,1.0,4.478782653808594,images/CBS This Morning/11118_11359/00011128.jpg,4,3,images/CBS This Morning/11118_11359,0
0.16214943191884737,1,1.0,4.0331525802612305,images/CBS This Morning/11118_11359/00011129.jpg,4,0,images/CBS This Morning/11118_11359,0
0.1492651754180882,1,1.0,2.699854850769043,images/CBS This Morning/11118_11359/00011129.jpg,4,1,images/CBS This Morning/11118_11359,1
0.0787574707410724,1,1.0,4.563390254974365,images/CBS This Morning/11118_11359/00011129.jpg,4,2,images/CBS This Morning/11118_11359,0
0.10724614730194793,1,1.0,4.488587379455566,images/CBS This Morning/11118_11359/00011129.jpg,4,3,images/CBS This Morning/11118_11359,0
