sample_id,state,sequence_id,previous_path,current_path,previous_person_index,current_person_index,bbox_iou,crowd_bin,head_size_bin,baseline_v0_448_score,learned_sasa_ggsf_512_score,p1a_static_prior_512_score,p1a_prior_residual_512_score,sheet_path,review_valid_transition,review_temporal_context_helpful,review_issue_type,review_notes
5f95c1e9f97c,in_to_out,images/Survivor/2517_2578,images/Survivor/2517_2578/00002559.jpg,images/Survivor/2517_2578/00002560.jpg,2,2,0.9617362509383526,4,large,0.989105761051178,0.9823259711265564,0.9806112051010132,0.9789101481437683,sheets/001_in_to_out_5f95c1e9f97c.jpg,,,,
eb2242dc7a62,in_to_out,images/Titanic/16903_16964,images/Titanic/16903_16964/00016915.jpg,images/Titanic/16903_16964/00016916.jpg,1,1,0.9990980834272826,2,large,0.9555887579917908,0.9136799573898315,0.9053417444229126,0.8951077461242676,sheets/002_in_to_out_eb2242dc7a62.jpg,,,,
e460149c8291,in_to_out,images/Jamie Oliver/4675_4750,images/Jamie Oliver/4675_4750/00004682.jpg,images/Jamie Oliver/4675_4750/00004683.jpg,1,1,0.920723924953906,2,large,0.9623819589614868,0.9319044947624207,0.9276199340820312,0.9413078427314758,sheets/003_in_to_out_e460149c8291.jpg,,,,
ac5ace248b48,in_to_out,images/I Wanna Marry Harry/9134_9255,images/I Wanna Marry Harry/9134_9255/00009199.jpg,images/I Wanna Marry Harry/9134_9255/00009200.jpg,1,1,0.9918819967661403,3,large,0.7287569046020508,0.5805568099021912,0.5514107346534729,0.4095452129840851,sheets/004_in_to_out_ac5ace248b48.jpg,,,,
7247ead0a20b,in_to_out,images/Downton Abby/15434_15495,images/Downton Abby/15434_15495/00015464.jpg,images/Downton Abby/15434_15495/00015465.jpg,3,3,0.9886488310611314,5+,large,0.8811114430427551,0.9354644417762756,0.9418203234672546,0.9346683025360107,sheets/005_in_to_out_7247ead0a20b.jpg,,,,
94e9c8584b0b,out_to_in,images/Survivor/4045_4076,images/Survivor/4045_4076/00004063.jpg,images/Survivor/4045_4076/00004064.jpg,1,1,0.9225779518962142,2,medium,0.6895086765289307,0.3145304322242737,0.22638095915317535,0.12532857060432434,sheets/006_out_to_in_94e9c8584b0b.jpg,,,,
7bff19120097,out_to_in,images/Titanic/16423_16544,images/Titanic/16423_16544/00016526.jpg,images/Titanic/16423_16544/00016527.jpg,0,0,0.9959975627383251,2,large,0.4681830406188965,0.21532069146633148,0.29432857036590576,0.3132827579975128,sheets/007_out_to_in_7bff19120097.jpg,,,,
1ca76ccba597,in_to_out,images/I Wanna Marry Harry/17070_17119,images/I Wanna Marry Harry/17070_17119/00017114.jpg,images/I Wanna Marry Harry/17070_17119/00017115.jpg,1,1,0.9425552909848903,2,medium,0.714540421962738,0.7388243675231934,0.7911413908004761,0.7447894215583801,sheets/008_in_to_out_1ca76ccba597.jpg,,,,
e8f580de00ac,out_to_in,images/Survivor/7372_7463,images/Survivor/7372_7463/00007439.jpg,images/Survivor/7372_7463/00007440.jpg,1,1,0.9328038746344383,3,medium,0.6457966566085815,0.7771486639976501,0.7370834350585938,0.6834981441497803,sheets/009_out_to_in_e8f580de00ac.jpg,,,,
a407df7a88e8,out_to_in,images/Downton Abby/2307_2458,images/Downton Abby/2307_2458/00002441.jpg,images/Downton Abby/2307_2458/00002442.jpg,0,0,0.9959749808385822,1,large,0.5149440765380859,0.18580323457717896,0.19114375114440918,0.1745680570602417,sheets/010_out_to_in_a407df7a88e8.jpg,,,,
75d3dd60e264,in_to_out,images/Jamie Oliver/1450_1525,images/Jamie Oliver/1450_1525/00001523.jpg,images/Jamie Oliver/1450_1525/00001524.jpg,1,1,0.9945046718332584,2,large,0.5846648812294006,0.6018548607826233,0.6625620722770691,0.6039027571678162,sheets/011_in_to_out_75d3dd60e264.jpg,,,,
fff8fea2a3be,in_to_out,images/Titanic/6533_6714,images/Titanic/6533_6714/00006641.jpg,images/Titanic/6533_6714/00006642.jpg,0,0,0.9952158645696587,2,large,0.700739324092865,0.7588071823120117,0.761928915977478,0.7301397919654846,sheets/012_in_to_out_fff8fea2a3be.jpg,,,,
